date	jour	mois	année	Pas-de-Calais.(62)	Gironde.(33)
42161	6	6	2015	12.8545454545455	20.1145833333333
42163	8	6	2015	14.2692307692308	23.6625
42164	9	6	2015	12.2291666666667	20.5125
42165	10	6	2015	16.8884615384615	17.7677419354839
42166	11	6	2015	19.7319444444444	19.5958333333333
42167	12	6	2015	21.5263888888889	19.4208333333333
42168	13	6	2015	16.1833333333333	19.2652777777778
42169	14	6	2015	15.2722222222222	18.4777777777778
42170	15	6	2015	15.4111111111111	17.8819444444444
42171	16	6	2015	14.3444444444445	18.8888888888889
42172	17	6	2015	16.2597222222222	19.2583333333333
42173	18	6	2015	15.7597222222222	19.3666666666667
42174	19	6	2015	14.6416666666667	19.8097222222222
42175	20	6	2015	15.4513888888889	20.1875
42176	21	6	2015	15.8680555555556	21.3722222222222
42177	22	6	2015	13	20.8696428571428
42178	23	6	2015	13.7097222222222	18.5916666666667
42179	24	6	2015	15.925	20.1145833333333
42180	25	6	2015	19.1097222222222	22.6166666666667
42181	26	6	2015	20.0083333333333	23.7958333333333
42182	27	6	2015	17.7208333333333	21.2604166666667
42183	28	6	2015	18.5527777777778	21.8041666666667
42184	29	6	2015	19.2472222222222	23.0020833333333
42185	30	6	2015	22.4486111111111	28.2833333333333
42186	1	7	2015	27.3666666666667	26.7791666666667
42187	2	7	2015	21.2875	23.3884615384615
42188	3	7	2015	22.8736111111111	27.75
42189	4	7	2015	22.9777777777778	24.9541666666667
42190	5	7	2015	17.6986111111111	22.5291666666667
42191	6	7	2015	18.98	25.55
42192	7	7	2015	17.9375	23.1041666666667
42193	8	7	2015	15.4979166666667	19.8
42194	9	7	2015	15.65	20.3583333333333
42195	10	7	2015	18.4583333333333	25.0833333333333
42196	11	7	2015	19	21.8041666666667
42197	12	7	2015	16.3020833333333	19.6708333333333
42198	13	7	2015	17.2708333333333	20.55
42199	14	7	2015	17.7916666666667	21.2
42200	15	7	2015	18.38125	24.9833333333333
42201	16	7	2015	22.7020833333333	23.7416666666667
42202	17	7	2015	20.4020833333333	24.3375
42203	18	7	2015	18.0583333333333	25.3541666666667
42204	19	7	2015	17.4229166666667	23.95
42205	20	7	2015	20.0020833333333	24.6833333333333
42206	21	7	2015	19.3125	25.4041666666667
42207	22	7	2015	18.51875	22.0041666666667
